PrimeNet;janvier;février;mars;avril;mai;juin;juillet;août;septembre;Target
17325000;425970;1001156;603542;722614;690870;615867;805940;568013;890564;0
469498066;31279370;34028976;31811769;30251949;30258069;28625182;24724864;28027208;28324371;0
5948662;172820;78430;41950;125365;123720;40550;95270;233700;184314;0
10414327;1018970;3098486;1239095;1142025;1605015;379410;828780;2915310;961620;1
63112120;3127527;3136035;3683969;2468438;3142120;4424801;3406386;3124047;3401689;0
3595968;149834;459625;447679;431990;370450;254995;373750;161149;322700;1
59770989;3007467;4783836;2758752;3836621;4794481;2586595;2579464;3770567;2368328;1
34350000;1330068;1477497;1262135;1804224;3384178;1616314;1529617;2716544;2391263;0
26622000;1337722;821327;1288585;870355;2380933;1002465;1579762;1716460;1388563;0
18025000;363881;715198;279000;903908;1147206;674021;1038900;885723;481858;0
6200000;141628;151584;499516;477234;222068;183108;240160;182508;413768;0
3374364;53995;39005;25995;232790;43360;423178;162000;131140;299745;0
3100000;159744;93940;259012;882000;318868;267628;85721;158140;243152;1
2945870;63091;126715;220859;323032;254532;475962;682941;184587;113350;1
1550000;87976;99708;87928;176436;57124;116188;80368;193884;311282;1
28947942;942944;1056318;909847;846050;693978;866592;847415;2062691;534319;0
13751271;161436;569848;704864;1186480;699944;1541495;1106350;1322216;1162114;1
2753750;17630;54625;156903;66120;131585;397101;30500;134000;59695;0
5200000;59050;177795;133110;207635;37800;325225;409265;427435;434297;1
10567433;284119;490305;568185;630256;873045;392136;546964;496933;634257;0
1446154;45688;81380;314880;115660;163272;238632;332060;82260;208160;1
1542565;8800;7660;9600;6000;123660;203168;70352;20784;249420;1
3646196;938752;247296;333720;740450;261077;106008;200848;130900;94120;1
6718415;251621;72832;598563;442782;144884;122710;148305;101996;103530;0
25172816;2656026;5016874;4358246;7716388;2409209;3399644;2716620;2636935;2318125;1
440199062;23757349;21242524;25527397;27405499;25756423;25741334;26275267;26517659;25083478;0
97419627;10300790;8675826;9704930;9016805;6591757;12198131;12797592;7858889;9272805;1
44060194;2259030;3043308;2140385;1837976;2614507;2448694;3205146;2677518;1970601;0
214511088;13504398;7395216;10561143;6037665;8513563;9389458;13675649;10846496;8697278;0
46581085;84888;123164;586092;871000;1951201;1026876;3500627;1307247;1535996;0
350518101;21007189;15813649;15455340;16832582;15757338;15769140;14892809;17571245;13108581;0
55151770;4605080;3278053;2927646;3577878;3564362;3569444;3941703;3626672;3185067;1
16397216;492046;1297405;1699676;2149677;1927364;886117;1011905;1860192;1281116;1
7363106;830527;376472;892433;203200;454463;301908;322312;351956;125032;1
2959313;225960;697131;194040;186022;258227;480222;128515;157236;375535;1
17896071;1166061;682032;1225827;926867;736689;709916;716480;147012;275851;0
62374333;3285017;1960383;2611512;4760319;2816280;3348660;2978275;3749771;3271728;0
13321480;273793;637085;1464193;310281;314354;513930;549971;330805;498206;0
16182000;1037771;1580649;1078795;716788;752074;926412;1233127;990544;601678;0
12798544;611476;731169;868909;572130;2143103;795569;1088257;631385;528396;1
3475530;274693;285165;67510;327690;492443;171395;177710;75825;87325;0
173588529;25797061;15316000;19531260;11957159;19033933;17322616;18705699;17599268;14261342;1
14458238;1656653;1714290;1625178;1287615;4504199;1678880;1457896;1427981;1282998;1
193647821;11615039;10500732;11779451;10226362;13114475;13017713;11344648;11220200;9241598;0
31025549;2236378;2152911;1372151;974911;1822754;1966949;2675168;1376064;1495516;0
92373744;8685032;5160290;7632836;9596622;9770089;11354319;12403028;10704270;6963808;1
51529194;3302954;2114006;2371090;1935264;2961611;1974290;2601534;1976981;2551172;0
862500;107432;277252;118392;76836;149800;81916;187100;193596;80408;1
2252000;82280;69376;58772;384572;40868;315436;133692;24084;114268;0
22496380;692454;2015326;1345593;1690702;1385855;1158791;1064115;1112553;1316619;0
22681330;1624432;1567802;1510155;1455982;1819890;1605877;2555287;1253721;1080483;1
14112000;959756;1741804;2643432;1651588;2382676;1959240;4874318;1905317;1785044;1
71332632;2595730;2331431;2301704;4183814;2967032;3479793;3503102;2896740;2765723;0
4215140;215616;137380;228672;85264;122932;394448;317928;257504;184472;0
21767185;405834;469886;757387;594022;1366446;702275;594394;717810;716766;0
16021443;3434258;866317;1400974;1812219;1179516;1305138;1132186;1164008;1422342;1
215474070;13506275;15787547;11628603;14651365;14391331;10566084;16938778;14487069;10935202;0
190254320;14254124;10515948;14963093;12911590;17112582;13479297;15717823;14624509;12572820;1
35902981;3546981;2976316;4457246;2996191;3457487;1971387;3766088;2549422;6376377;1
16844407;2538520;1984498;2799793;2058926;2871535;3092730;2896821;2125304;2316718;1
1539000;105325;103415;165660;86505;16515;118925;194415;150455;111470;1
4190400;8500;132055;44075;57965;96705;334590;110210;123160;76625;0
12629934;400228;1060890;1071109;1542093;1328262;1261066;53310;2152014;556480;1
13636882;214355;250281;215447;477362;719629;429970;556001;263004;241913;0
11034501;729865;527890;299895;2429991;559150;240900;916150;139839;111535;0
64334926;4339535;2977684;3871090;5281864;2491959;4176891;4939554;4714257;2781227;1
128530819;14908127;11987169;12643773;13557681;12864774;11588730;14995921;15401692;14514314;1
6201622;751820;689319;1763428;591591;691104;2498442;1195084;973524;378500;1
14696719;834361;1596356;1191694;1182870;1308707;2069317;3647331;1541505;1006876;1
11739458;962264;1024487;806880;289985;1224860;8217332;2201281;481106;819450;1
49355224;2495105;1651708;2460920;2306315;3103368;4632708;3717737;1984186;2068365;0
163922784;10768441;7913438;10320690;10627132;11272171;9983512;10370373;12635502;7250647;0
52545133;1931698;2600762;2487321;2654211;1811100;2499310;3405741;3520580;2608308;0
9856347;50880;359794;520503;429160;425603;400160;757519;335400;365760;0
13181024;877706;797562;1178573;926188;1696882;1465743;793517;327112;193962;0
4413000;92320;152275;208598;190336;1000950;555215;114830;16010;153258;1
6373804;218610;774865;1635842;220736;262556;368681;285146;322846;217287;1
140288430;17144144;19346922;17975576;18627674;19561641;20568629;16840872;27820518;22606676;1
14473434;268188;682032;832028;893780;1007884;599432;542124;759323;862108;0
29868938;3328454;4972540;4384144;3383752;4071309;3892998;5004594;5121078;7875003;1
3758251;92472;111452;239480;88192;128412;15308;97476;121740;338288;0
7021596;419267;197471;286514;355076;194052;520348;409982;683119;218415;0
